Rxn name	Formula	Gene-reaction association	LB	UB	Objective
CBMK	atp[c] + co2[c] + nh4[c]  -> adp[c] + cbp[c] + 2 h[c] 	((b0521) or (b0323) or (b2874))	  0.00	1000.00	  0.00
CBPS	2 atp[c] + gln_DASH_L[c] + h2o[c] + hco3[c]  -> 2 adp[c] + cbp[c] + glu_DASH_L[c] + 2 h[c] + pi[c] 	((b0032) and (b0033))	  0.00	1000.00	  0.00
CDAPPA_EC	0.02 cdpdag_EC[c] + h2o[c]  -> cmp[c] + 2 h[c] + 0.02 pa_EC[c] 	(b3918)	  0.00	1000.00	  0.00
CDPMEK	4c2me[c] + atp[c]  -> 2p4c2me[c] + adp[c] + h[c] 	(b1208)	  0.00	1000.00	  0.00
CHLabc	atp[c] + chol[e] + h2o[c]  -> adp[c] + chol[c] + h[c] + pi[c] 	((b2128) and (b2130) and (b2131) and (b2129))	  0.00	1000.00	  0.00
CHLt2r	chol[e] + h[e]  <=> chol[c] + h[c] 	((b0314) or (b1801))	-1000.00	1000.00	  0.00
CHORM	chor[c]  -> pphn[c] 	((b2600) or (b2599))	  0.00	1000.00	  0.00
CHORS	3psme[c]  -> chor[c] + pi[c] 	(b2329)	  0.00	1000.00	  0.00
CHRPL	chor[c]  -> 4hbz[c] + pyr[c] 	(b4039)	  0.00	1000.00	  0.00
CINNDO	cinnm[c] + h[c] + nadh[c] + o2[c]  -> cenchddd[c] + nad[c] 	((b2542) and (b2539) and (b2538) and (b2540))	  0.00	1000.00	  0.00
CITL	cit[c]  -> ac[c] + oaa[c] 	((b0616) and (b0615) and (b0617))	  0.00	1000.00	  0.00
CITt7	cit[e] + succ[c]  -> cit[c] + succ[e] 	(b0612)	  0.00	1000.00	  0.00
CLPNS_EC	0.04 pg_EC[c]  <=> 0.02 clpn_EC[c] + glyc[c] 	(b1249)	-1000.00	1000.00	  0.00
CMPN	cmp[c] + h2o[c]  -> csn[c] + r5p[c] 		  0.00	1000.00	  0.00
CO2t	co2[e]  <=> co2[c] 		-1000.00	1000.00	  0.00
CPPPGO	cpppg3[c] + 2 h[c] + o2[c]  -> 2 co2[c] + 2 h2o[c] + pppg9[c] 	(b2436)	  0.00	1000.00	  0.00
CRNBTCT	bbtcoa[c] + crn[c]  <=> crncoa[c] + gbbtn[c] 	(b0038)	-1000.00	1000.00	  0.00
CRNCBCT	crn[c] + ctbtcoa[c]  <=> crncoa[c] + ctbt[c] 	(b0038)	-1000.00	1000.00	  0.00
CRNCDH	crncoa[c]  <=> ctbtcoa[c] + h2o[c] 	(b0036)	-1000.00	1000.00	  0.00
CRNt7	crn[e] + gbbtn[c]  -> crn[c] + gbbtn[e] 	(b0040)	  0.00	1000.00	  0.00
CS	accoa[c] + h2o[c] + oaa[c]  -> cit[c] + coa[c] + h[c] 	(b0720)	  0.00	1000.00	  0.00
CSND	csn[c] + h2o[c] + h[c]  -> nh4[c] + ura[c] 	(b0337)	  0.00	1000.00	  0.00
CSNt2	csn[e] + h[e]  -> csn[c] + h[c] 	(b0336)	  0.00	1000.00	  0.00
CTPS2	atp[c] + gln_DASH_L[c] + h2o[c] + utp[c]  -> adp[c] + ctp[c] + glu_DASH_L[c] + 2 h[c] + pi[c] 	(b2780)	  0.00	1000.00	  0.00
